question,answer
college name,JIS College of Engineering is a private engineering college located in Kalyani West Bengal established in 2000.
about jis college,JIS College of Engineering is affiliated to MAKAUT approved by AICTE and NAAC accredited college.
tell me about jis college,JIS College of Engineering is a NAAC accredited engineering college in Kalyani offering BTech BCA BBA MCA MBA MTech and Diploma courses.
jis college details,JIS College offers engineering management and computer application courses with good placement and facilities.

where is jis college,JIS College is located in Kalyani Nadia West Bengal.
jis college location,JIS College is located in Kalyani Nadia West Bengal.
jis college located,JIS College is located in Kalyani Nadia West Bengal.
college location,JIS College is located in Kalyani Nadia West Bengal.
location of jis college,JIS College is located in Kalyani Nadia West Bengal.

established,JIS College was established in 2000.
affiliation,JIS College is affiliated to MAKAUT and approved by AICTE.

courses,JIS College offers BTech BCA BBA MCA MBA MTech and Diploma courses.
what courses are available,JIS College offers BTech BCA BBA MCA MBA MTech and Diploma courses.
list of courses,JIS College offers BTech BCA BBA MCA MBA MTech and Diploma courses.
available courses,JIS College offers BTech BCA BBA MCA MBA MTech and Diploma courses.

btech streams,BTech streams include Computer Science Engineering Information Technology Electronics and Communication Electrical Mechanical Civil Agricultural Biomedical and AIML.

computer science engineering,Computer Science Engineering is one of the best branches with good placement.
mechanical engineering,Mechanical Engineering deals with machines manufacturing and thermal engineering.
electrical engineering,Electrical Engineering deals with electrical machines power systems and circuits.
civil engineering,Civil Engineering deals with construction structures and infrastructure.
electronics and communication engineering,Electronics and Communication Engineering deals with electronics and communication systems.
information technology,Information Technology branch focuses on software networking and database.
agricultural engineering,Agricultural Engineering deals with farming technology irrigation and machines.
biomedical engineering,Biomedical Engineering combines engineering with medical science.
artificial intelligence and machine learning,CSE AIML is Computer Science Engineering with Artificial Intelligence and Machine Learning.

bca course,BCA is a 3 year undergraduate course in computer applications.
tell me about bca,BCA is a 3 year undergraduate course in computer applications.
what is bca,BCA is a 3 year undergraduate course in computer applications.

mca course,MCA is a 2 year postgraduate course in computer applications.
tell me about mca,MCA is a 2 year postgraduate course in computer applications.
what is mca,MCA is a 2 year postgraduate course in computer applications.

bba course,BBA is a 3 year undergraduate management course.
mba course,MBA is a 2 year postgraduate management course.
mtech course,MTech is a postgraduate engineering course.

mca fees,MCA total fees is approximately 3 lakh.
fees for mca,MCA total fees is approximately 3 lakh.
what is mca fees,MCA total fees is approximately 3 lakh.
fees of mca,MCA total fees is approximately 3 lakh.

bca fees,BCA total fees is approximately 2.9 lakh.
fees for bca,BCA total fees is approximately 2.9 lakh.
what is bca fees,BCA total fees is approximately 2.9 lakh.
fees of bca,BCA total fees is approximately 2.9 lakh.

bba fees,BBA total fees is approximately 2.6 lakh.
mba fees,MBA total fees is approximately 5 lakh.
btech fees,BTech total fees is approximately 3 to 6 lakh depending on stream.

hostel fee,Hostel fee is around 5500 per month.
hostel fees,Hostel fee is around 5500 per month.

placement,JIS College placement rate is around 80 to 86 percent.
placement percentage,Placement percentage is around 80 to 86 percent.
what is placement percentage,Placement percentage is around 80 to 86 percent.
average package,Average placement package is around 4.5 LPA.
highest package,Highest package can go above 10 LPA.
recruiters,Top recruiters include TCS Cognizant Infosys Wipro Capgemini Accenture.

hostel,Hostel facility available for boys and girls.
facilities,Facilities include hostel library labs sports wifi medical and modern classrooms.
library,College library has more than 90000 books and journals.
campus,Campus size is around 25 acres with modern infrastructure.
campus life,Campus life includes technical events cultural events sports and fests.

admission,Admission is based on WBJEE JEE Main JELET WBJECA and MAKAUT CET.
admission process,Students need to qualify entrance exams like WBJEE JEE Main or WBJECA depending on course.
how to get admission,Students need to qualify entrance exams like WBJEE JEE Main or WBJECA depending on course.
scholarship,Scholarship available for meritorious students.

contact,Admission contact number is 9432011490.
phone number,Admission contact number is 9432011490.
email,Admission email is admission.jisce@jisgroup.org.
website,Official website is www.jiscollege.ac.in.
principal,Principal of JIS College is Prof Dr Partha Sarkar.
college timing,College timing is 10 AM to 5 PM.
